state,homeownership,annual_income,debt_to_income,total_credit_limit,total_credit_utilized,loan_purpose,loan_amount,term,interest_rate,installment,grade,issue_month,loan_status,risk_category_loan_status,balance,paid_total,paid_principal,paid_interest,default_flag,income_band,dti_bucket,dti_risk_bucket,utilization_alert,utilization_bucket
NJ,Mortgage,"90,000.00",18.01,70795,38767,Moving,28000,60,14.07%,652.53,C,3/1/2018,Current,Healthy,27015.86,1999.33,984.14,1015.19,0,Medium (50k-100k),Manageable (15-30%),Low,Safe,High
HI,Rent,"40,000.00",5.04,28800,4321,Debt_Consolidation,5000,36,12.61%,167.54,C,2/1/2018,Current,Healthy,4651.37,499.12,348.63,150.49,0,Low (<50k),Healthy (<15%),Low,Safe,High
WI,Rent,"40,000.00",21.15,24193,16000,Other,2000,36,17.09%,71.4,D,2/1/2018,Current,Healthy,1824.63,281.80,175.37,106.43,0,Low (<50k),Manageable (15-30%),Medium,Safe,High
PA,Rent,"30,000.00",10.16,25400,4997,Debt_Consolidation,21600,36,6.72%,664.19,A,1/1/2018,Current,Healthy,18853.26,3312.89,2746.74,566.15,0,Low (<50k),Healthy (<15%),Low,Safe,High
CA,Rent,"35,000.00",57.96,69839,52722,Credit_Card,23000,36,14.07%,786.87,C,3/1/2018,Current,Healthy,21430.15,2324.65,1569.85,754.80,0,Low (<50k),Risky (>30%),High,Safe,High
KY,Own,"34,000.00",6.46,42100,3898,Other,5000,36,6.72%,153.75,A,1/1/2018,Current,Healthy,4256.71,873.13,743.29,129.84,0,Low (<50k),Healthy (<15%),Low,Safe,High
MI,Mortgage,"35,000.00",23.66,291852,18916,Credit_Card,24000,60,13.59%,553.35,C,1/1/2018,Current,Healthy,22560.00,2730.51,1440.00,1290.51,0,Low (<50k),Manageable (15-30%),Medium,Safe,High
AZ,Mortgage,"110,000.00",16.19,342336,60805,Debt_Consolidation,20000,60,11.99%,444.79,B,1/1/2018,Current,Healthy,19005.39,1765.84,994.61,771.23,0,High (>100k),Manageable (15-30%),Low,Safe,High
NV,Mortgage,"65,000.00",36.48,283190,69561,Home_Improvement,20000,36,13.59%,679.58,C,2/1/2018,Current,Healthy,18156.66,2703.22,1843.34,859.88,0,Medium (50k-100k),Risky (>30%),High,Safe,High
IL,Rent,"30,000.00",18.91,33114,17768,Credit_Card,6400,36,6.71%,196.77,A,3/1/2018,Current,Healthy,6077.13,391.15,322.87,68.28,0,Low (<50k),Manageable (15-30%),Low,Safe,High
IL,Mortgage,"75,000.00",10.45,39433,22895,Debt_Consolidation,25000,60,15.04%,595.28,C,3/1/2018,Current,Healthy,24143.51,1764.95,856.49,908.46,0,Medium (50k-100k),Healthy (<15%),Low,Safe,High
FL,Mortgage,"91,900.00",1.82,450371,55939,Other,40000,60,9.92%,848.31,B,3/1/2018,Current,Healthy,38434.20,2500.84,1565.80,935.04,0,Medium (50k-100k),Healthy (<15%),Low,Safe,High
SC,Mortgage,"122,000.00",12.06,263800,43686,Debt_Consolidation,16000,36,13.59%,543.67,C,2/1/2018,Current,Healthy,14525.30,2204.88,1474.70,730.18,0,High (>100k),Healthy (<15%),Low,Safe,High
CO,Mortgage,"88,000.00",3.67,259915,14387,Credit_Card,17000,60,9.43%,356.46,B,2/1/2018,Current,Healthy,16326.13,1060.47,673.87,386.60,0,Medium (50k-100k),Healthy (<15%),Low,Safe,High
FL,Mortgage,"17,000.00",33.98,74042,26483,Debt_Consolidation,3000,36,19.03%,110.02,D,1/1/2018,Current,Healthy,2744.21,454.36,255.79,198.57,0,Low (<50k),Risky (>30%),Medium,Safe,High
TN,Mortgage,"60,000.00",38.46,136815,75552,Credit_Card,20000,60,19.03%,519.15,D,2/1/2018,Current,Healthy,19172.64,2023.74,827.36,1196.38,0,Medium (50k-100k),Risky (>30%),High,Safe,High
NV,Mortgage,"60,000.00",31.22,375092,93016,Credit_Card,12000,60,19.03%,311.49,D,1/1/2018,Current,Healthy,11374.52,1532.08,625.48,906.60,0,Medium (50k-100k),Risky (>30%),Medium,Safe,High
NV,Rent,"72,000.00",20.33,58911,54947,Debt_Consolidation,30000,60,28.72%,947.15,F,1/1/2018,Current,Healthy,28798.08,4687.88,1201.92,3485.96,0,Medium (50k-100k),Manageable (15-30%),Medium,Maxed Out,High
IL,Mortgage,"210,000.00",9.53,322046,73705,Medical,5000,36,26.77%,203.51,E,2/1/2018,Fully Paid,Healthy,0.00,5202.64,5000.00,202.64,0,High (>100k),Healthy (<15%),Low,Safe,High
CA,Mortgage,"83,000.00",18.44,555154,39482,Debt_Consolidation,20000,60,15.05%,476.33,C,1/1/2018,Fully Paid,Healthy,0.00,20653.72,20000.00,653.72,0,Medium (50k-100k),Manageable (15-30%),Low,Safe,High
KY,Mortgage,"50,000.00",15.6,70313,18128,Credit_Card,7000,36,6.08%,213.21,A,1/1/2018,Current,Healthy,6102.23,1063.69,897.77,165.92,0,Medium (50k-100k),Manageable (15-30%),Low,Safe,High
NV,Mortgage,"42,000.00",32,272403,47575,Credit_Card,10000,36,11.98%,332.05,B,3/1/2018,Current,Healthy,9296.37,989.49,703.63,285.86,0,Low (<50k),Risky (>30%),Medium,Safe,High
NJ,Mortgage,"100,000.00",26.53,566384,151251,Debt_Consolidation,21050,60,13.59%,485.34,C,2/1/2018,Current,Healthy,20045.30,1909.57,1004.70,904.87,0,Medium (50k-100k),Manageable (15-30%),Medium,Safe,High
TX,Mortgage,"40,280.00",7.27,188450,6103,Home_Improvement,3500,36,6.71%,107.61,A,3/1/2018,Current,Healthy,3323.42,223.71,176.58,47.13,0,Low (<50k),Healthy (<15%),Low,Safe,High
VA,Rent,"82,000.00",17.31,65425,69177,Credit_Card,8000,36,7.96%,250.55,A,3/1/2018,Current,Healthy,7403.61,744.57,596.39,148.18,0,Medium (50k-100k),Manageable (15-30%),Low,Maxed Out,High
PA,Mortgage,"55,000.00",14.42,197985,17296,Debt_Consolidation,18000,60,12.61%,405.98,C,2/1/2018,Current,Healthy,17342.65,1205.33,657.35,547.98,0,Medium (50k-100k),Healthy (<15%),Low,Safe,High
NY,Rent,"55,000.00",13.68,41891,26637,Credit_Card,10000,36,11.98%,332.05,B,3/1/2018,Current,Healthy,9432.28,750.79,567.72,183.07,0,Medium (50k-100k),Healthy (<15%),Low,Safe,High
IL,Rent,"33,000.00",19.38,43876,22920,Debt_Consolidation,3200,36,7.34%,99.31,A,2/1/2018,Current,Healthy,2557.44,696.63,642.56,54.07,0,Low (<50k),Manageable (15-30%),Low,Safe,High
GA,Rent,"60,000.00",11,56000,14338,Debt_Consolidation,10000,36,5.32%,301.15,A,1/1/2018,Current,Healthy,8704.48,1498.36,1295.52,202.84,0,Medium (50k-100k),Healthy (<15%),Low,Safe,High
MO,Mortgage,"48,000.00",2.88,147217,2489,House,6000,36,6.07%,182.73,A,3/1/2018,Current,Healthy,5540.54,544.14,459.46,84.68,0,Low (<50k),Healthy (<15%),Low,Safe,High
